,rest_id,rest_name
0,1,2G Japanese Brasserie
1,2,A-1 Cafe Restaurant
2,3,Alhamra
3,4,Alioto's Restaurant
4,5,All Season Restaurant
5,6,Bai Thong Thai Cuisine
6,7,Bamboo Restaurant
7,8,Blu Restaurant
8,9,Bombay Indian Restaurant
9,10,Bow Hon Restaurant
10,11,Burger Bar
11,12,Canton Seafood & Dim Sum Restaurant
12,13,Cesario's
13,14,Chili Lemon Garlic
14,15,Colombini Italian Cafe Bistro
15,16,Far East Cafe
16,17,Hanuri
17,18,Herbivore
18,19,India Garden Restaurant
19,20,Iroha Restaurant
20,21,Isobune Sushi
21,22,John's Grill
22,23,Kushi Tsuru
23,24,Kyoto Sushi
24,25,Marrakech Moroccan Restaurant
25,26,McCormick & Kuleto's
26,27,Mifune Restaurant
27,28,Naan 'N' Curry
28,29,New Delhi Indian Restaurant
29,30,Nick's Lighthouse
30,31,Osakaya Restaurant
31,32,Paragon Restaurant & Bar
32,33,Parallel 37
33,34,Penang Garden
34,35,Quan Bac
35,36,Restaurant Lulu
36,37,Rose Pistola
37,38,Sabella & La Torre
38,39,Sam's Grill & Seafood Restaurant
39,40,San Dong House
40,41,Santorini's Mediterranean Cuisine
41,42,Sapporo-Ya Japanese Restaurant
42,43,Shanghai China Restaurant
43,44,Soluna Cafe and Lounge
44,45,Sudachi
45,46,Thai Stick Restaurant
46,47,The Cheesecake Factory
47,48,The Stinking Rose
48,49,Tong Palace
49,50,Tres
50,51,Viva Pizza Restaurant
