timings,Fri,Mon,Sat,Sun,Thu,Tue,Wed
00:00,"{38, 45, 46, 47, 25, 28}","{25, 28, 45, 46}","{38, 45, 46, 47, 25, 28}","{25, 28, 46}","{25, 28, 45, 46}","{25, 28, 45, 46}","{25, 28, 45, 46}"
00:30,"{25, 28, 45, 46}","{25, 28, 46}","{25, 28, 45, 46}","{25, 28, 46}","{25, 28, 45, 46}","{25, 28, 46}","{25, 28, 46}"
01:00,"{25, 28, 45, 46}","{25, 28, 46}","{25, 28, 45, 46}","{25, 28, 46}","{25, 28, 45, 46}","{25, 28, 46}","{25, 28, 46}"
01:30,"{25, 28, 45}","{25, 28}","{25, 28, 45}","{25, 28}","{25, 28, 45}","{25, 28}","{25, 28}"
02:00,"{25, 28}","{25, 28}","{25, 28}","{25, 28}","{25, 28}","{25, 28}","{25, 28}"
02:30,{28},{28},{28},{28},{28},{28},{28}
03:00,{28},{28},{28},{28},{28},{28},{28}
03:30,{28},{28},{28},{28},{28},{28},{28}
04:00,{28},{28},{28},{28},{28},{28},{28}
07:00,,,{8},{8},,,
07:30,,,{8},{8},,,
08:00,{41},{41},"{8, 41}","{8, 41}",{41},{41},{41}
08:30,{41},{41},"{8, 41}","{8, 41}",{41},{41},{41}
09:00,"{41, 18, 49}","{41, 18, 49}","{8, 41, 18, 49}","{8, 41, 18, 49}","{41, 18, 49}","{41, 18, 49}","{41, 18, 49}"
09:30,"{41, 18, 49}","{41, 18, 49}","{5, 8, 41, 49, 18}","{5, 8, 41, 49, 18}","{41, 18, 49}","{41, 18, 49}","{41, 18, 49}"
10:00,"{34, 5, 38, 41, 49, 18, 19}","{5, 38, 41, 49, 18, 19}","{34, 5, 38, 8, 41, 12, 49, 18, 19}","{5, 38, 8, 41, 12, 47, 49, 18, 19}","{5, 38, 41, 49, 18, 19}","{5, 38, 41, 49, 18, 19}","{5, 38, 41, 49, 18, 19}"
10:30,"{34, 5, 38, 41, 12, 49, 18, 19}","{5, 38, 41, 12, 49, 18, 19}","{34, 5, 38, 8, 41, 12, 49, 18, 19}","{5, 38, 8, 41, 12, 47, 49, 18, 19}","{5, 38, 41, 12, 49, 18, 19}","{5, 38, 41, 12, 49, 18, 19}","{5, 38, 41, 12, 49, 18, 19}"
11:00,"{1, 2, 3, 4, 5, 6, 7, 10, 11, 12, 14, 17, 18, 19, 22, 24, 27, 28, 30, 34, 35, 38, 39, 40, 41, 42, 43, 46, 47, 49, 51}","{1, 2, 3, 4, 5, 6, 7, 10, 11, 12, 14, 17, 18, 19, 22, 24, 27, 28, 30, 34, 35, 38, 39, 40, 41, 42, 43, 46, 47, 49, 51}","{1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 17, 18, 19, 22, 27, 28, 30, 34, 35, 38, 40, 41, 42, 43, 46, 47, 49, 51}","{1, 2, 3, 4, 5, 6, 8, 10, 11, 12, 17, 18, 19, 27, 28, 30, 34, 35, 38, 40, 41, 42, 43, 46, 47, 49, 51}","{1, 2, 3, 4, 5, 6, 7, 10, 11, 12, 14, 17, 18, 19, 22, 24, 27, 28, 30, 34, 35, 38, 39, 40, 41, 42, 43, 46, 47, 49, 51}","{1, 3, 4, 5, 6, 7, 10, 11, 12, 14, 17, 18, 19, 22, 24, 27, 28, 30, 34, 35, 38, 39, 40, 41, 42, 43, 46, 47, 49, 51}","{1, 2, 3, 4, 5, 6, 7, 10, 11, 12, 14, 17, 18, 19, 22, 24, 27, 28, 30, 34, 35, 38, 39, 40, 41, 42, 43, 46, 47, 49, 51}"
11:30,"{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 46, 47, 48, 49, 50, 51}","{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 46, 47, 48, 49, 50, 51}","{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 40, 41, 42, 43, 46, 47, 48, 49, 50, 51}","{1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 16, 17, 18, 19, 20, 21, 23, 26, 27, 28, 30, 31, 33, 34, 35, 36, 37, 38, 40, 41, 42, 43, 46, 47, 48, 49, 50, 51}","{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 46, 47, 48, 49, 50, 51}","{1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 46, 47, 48, 49, 50, 51}","{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 46, 47, 48, 49, 50, 51}"
